Name,Address,Phone,Email,URL
HEARTLAND FC,"P.O. Box 5584, Grand Island, NE 68802",3083700175,nenacorona308@gmail.com,http://www.heartlandfcgi.com/
HOLY CROSS,"1502 S 48th St, Omaha, NE 68106",,avesfan@hotmail.com,http://www.hcbcsports.com/
HOLY NAME,"6870 Minne Lusa Blvd., Omaha, NE 68112",4028716301,lee.l.davis@cox.net,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
INTERNATIONAL SOCCER ACADEMY,"1412 W Louise, Grand Island, NE 68801",3083805378,ROGADOUS@YAHOO.COM,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
INTERSTATE SOCCER CLUB,"1300 Riverview Drive, South Sioux City, NE 68776",7122546341,contact@interstatesoccerclub.com,http://www.interstatesoccerclub.com/
ISLANDER FUTBOL CLUB,"Grand Island, NE 68801",3083903900,sastudillo@gips.org,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
KEARNEY SOCCER CLUB,"P.O. Box 904, Kearney, NE 68848",3087081260,mikemunch@outlook.com,http://www.kearneysoccer.org/
LEX SOCCER UNIFIT,"1004 Stagecoach Lane, Lexington, NE 68850",3083251954,rebeca.deleon@lexschools.org,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
LINCOLN SPIRIT SOCCER CLUB,"570 Fallbrook Blvd, Ste 210, Lincoln, NE 68521",4024349216,cccantwell@ymcalincoln.com,http://www.ymcalincoln.org/youth/soccer/spirit/
MARY OUR QUEEN SOCCER CLUB,"19350 Blaine St, Omaha, NE 68135",4027088442,mhansen83@hotmail.com,http://tshq.bluesombrero.com/moqsoccer
NEBRASKA CITY SOCCER CLUB,"64175 733 Road, Peru, NE 68421",4022976082,tradams02@gmail.com,https://www.facebook.com/NebraskaCityYouthSoccerClub/
NORFOLK EXPRESS SOCCER CLUB,"Norfolk, NE 68701",,,https://www.norfolkexpress.com/
NORFOLK FOOTBALL CLUB,"107 Kings Way, Norfolk, NE 68701",4029809995,larsonbrooke@hotmail.com,http://www.norfolkfootballclub.com/
NORRIS TITANS SOCCER CLUB,"16450 Reehl Place, Roca, NE 68430",,pisces78@gmail.com,http://www.norristitanssoccer.com/
NORTH PLATTE UNITED SOCCER,"P.O. Box 144, North Platte, NE 69101",3086604730,jenniferschmid83@hotmail.com,http://www.npunitedsoccer.com/
OHA SOCCER ACADEMY,"1805 Harney St., Omaha, NE 68105",4029325571,ooissaka@gmail.com,http://www.ohauthority.org/
OMAHA LEGENDS,"3607 S. 149th St., Omaha, NE 68144",4026866028,lori@happyfeetgreateromaha.com,http://www.happyfeetgreateromaha.com/
OMAHA STREET SOCCER,"Omaha, NE",4022820560,info@omahastreetsoccer.com,https://omahastreetsoccer.com/
OMAHA UNITED SOCCER CLUB,"P.O. BOX 390993, Omaha, NE 68139",4027049977,admin@omahaunitedsc.com,https://www.omahaunitedsc.com/
OUR LADY OF LOURDES,"2110 S 32nd Ave, Omaha, NE 68105",4025770753,buttmeier@aol.com,http://omahaourladyoflourdes.publishpath.com/soccer
PACE SOCCER ACADEMY,"5105 S. 37th, Omaha, NE 68107",4022498030,arlene@paceomaha.org,http://www.paceomaha.org/
PAPILLION SOCCER CLUB,"P.O. Box 460935, Papillion, NE 68046",4023059023,administrator@papillionsoccer.com,http://www.papillionsoccer.com/
PLATTSMOUTH SOCCER CLUB,"P.O. BOX 43, Plattsmouth, NE 68048",4022964017,registrar_psc@plattsmouthsoccer.org,http://www.plattsmouthsoccer.org/
RALSTON SOCCER CLUB,"P.O. Box 27782, Ralston, NE 68127",,baybee2002@cox.net,http://www.ralstonsoccer.com/
SACRED HEART PANTHERS,"2205 Binney Street, Omaha, NE 68110",4023213905,mjensen@shsomaha.org,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
SCHUYLER SOCCER CLUB,"302 Meadow Lane, Schuyler, NE 68661",4026150423,alarcona251@gmail.com,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
SOUTHEAST SOCCER CLUB,"P.O. BOX 254, Murray, NE 68409",4022353170,fjc68@windstream.net,http://tshq.bluesombrero.com/southeastsoccerclubne
SPORTING NEBRASKA FC,"14706 Giles Rd, Omaha, NE 68138",4028964420,reneew@sportingnebraskafc.com,http://www.sportingnebraskafc.com/
ST BERNARDS SOCCER CLUB,"3604 N. 65th St., Omaha, NE 68104",4026571389,mkkelly1995@q.com,https://www.stbernardomaha.org/athleticclub
ST CECILIAS SOCCER CLUB,"3869 Webster St, Omaha, NE 68131",4025566655,cburbach44@gmail.com,http://stceciliaelementaryschool.siplay.com/site/
ST COLUMBKILLE SOCCER CLUB,"224 E 5th St, Papillion, NE 68046",4023393285,spinkelman@saintcolumbkilleschool.org,http://www.saintcolumbkilleathletics.org/sports/soccer
ST GERALDS SOCCER CLUB,"7859 Lakeview St, Ralston, NE 68127",4023311955,soccerregistrar@stgerald.org,http://stgerald.org/sports/sga_soccer.html
ST JOAN OF ARC SOCCER CLUB,"3122 S 74th St, Omaha, NE 68124",,bkeenan908@juno.com,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
ST MARGARET MARY SOCCER CLUB,"6116 Dodge St, Omaha, NE 68132",4022156560,tomgarvey13@gmail.com,http://smmomaha.org/athletics/soccer/
ST PATRICKS SOCCER CLUB,"P.O. Box 10, Elkhorn, NE 68022",4022895407,lampert4@cox.net,http://www.school.stpatselkhorn.org/
ST PHILIP NERI SOCCER CLUB,"8202 N 31ST ST, OMAHA, NE 68112",4023153500,setietz@schools.archomaha.org,http://www.spnschoolomaha.com/
ST PIUS/LEO,"P.O. Box 401, Omaha, NE 68010",4023052544,wognemesis@aol.com,http://www.spslsoccer.com/
ST ROBERTS SOCCER CLUB,"11802 Pacific Street, Omaha, NE 68154",4022105690,soccer@stroberts.com,http://www.stroberts.com/parishlife/athletics/soccerclub
ST STEPHEN THE MARTYR SOCCER CLUB,"7415 S 173rd St, Omaha, NE 68136",,kaschwege@gmail.com,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
ST THOMAS MORE SOCCER CLUB,"3515 S 48th St, Omaha, NE 68106",4025519504,jennifer.e.griess@convergys.com,http://stmbengals.sportssignup.com/site/
ST VINCENT DE PAUL SOCCER CLUB,"1433 Eagle Run Dr, Omaha, NE 68164",4024922111,jbogs@aol.com,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
ST WENCESLAUS SOCCER CLUB,"15353 Pacific St, Omaha, NE 68154",4023309620,fred.nelson87@yahoo.com,http://www.stwenceslaus.org/schoollife/athletics/soccer
ST. JAMES ELIZABETH ANN YOUTH SOCCER CLUB,"P.O. Box 34541, Omaha, NE 68134",4024913247,registrar@sjeaysc.org,http://www.sjeaysc.org/
STING NEBRASKA,"York, NE",8177893261,ryandavis@stingsoccer.com,https://www.stingsoccer.com/nebraska
SYRACUSE SOCCER CLUB,"398 N 34th Rd, Syracuse, NE 68446",,syracusesoccer@gmail.com,https://www.sites.google.com/site/syracusenesoccerclub/home
UNITED ASSOCIATION FOOTBALL,"3406 S 114th St, Omaha, NE 68144",4022120366,paulvirgillito@b2e.com,http://www.unitedne.com/
VILLARREAL NEBRASKA ACADEMY,"333 Speedway Circle, Suite 4, Lincoln, NE 68502",4028537100,amy@villarrealnebrask.com,http://www.villarrealnebraska.com/
WESTERN NEBRASKA FOOTBALL CLUB,"3913 2nd Ave, Scottsbluff, NE 69361",,nrock@sbps.net,http://www.westernnebraskafc.com/
