11,Central Coast Condor Soccer Club,District 7,,,https://www.centralcoastcondors.org/home, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
11,Central Coast United,District 7,,,https://centralcoastunitedsc.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
11,Coastal Valley Soccer Club,District 7,,,https://www.coastalvalleysc.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
11,Oaks FC,District 7,,,https://www.oaksfc.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
12,Ventura County United,District 7,,,https://www.vcunitedsoccerclub.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
12,Santa Barbara Soccer Club,District 7,,,https://santabarbarasc.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
12,Ventura Surf Soccer Club,District 7,,,https://venturasurfsoccer.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
12,South Bay Soccer Association,District 7,,,https://clubs.bluesombrero.com/Default.aspx?tabid=1254764, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Recreational League,,
12,Orcutt United Soccer League,District 7,,,http://www.ouslsoccer.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Recreational League,,
13,Simi Valley Youth Soccer League,District 7, District 7,,https://www.simiyouthsoccer.org/,, Youth,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club, Recreational League,
13,Oxnard Wave Soccer Club,District 7,,,http://www.oxnardwave-sc.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
13,Oxnard Real Athletic,District 7,,,https://www.oxnardreal.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
13,Cal Elite SC,District 6,,,https://www.cesoccer.com/, Youth,,, 6, Kern County, Boys and Girls,,  Youth Club,,
13,Bakersfield Legacy Soccer Club,District 6,,,https://www.facebook.com/bakersfield.legacysoccer/, Youth,,, 6, Kern County, Boys and Girls,,  Youth Club,,
14,Soccer Club Antelope,District 6,,,http://www.antelopesoccerleague.com/, Youth,,, 6, Kern County, Boys and Girls,,  Youth Club,,
14,Lightning SC,District 6, District 6,,https://www.lightningsc.com/,, Youth,, 6, Kern County, Boys and Girls,,  Youth Club, Competitive League,
14,Roadrunner United FC,District 6,,,https://runnersfc.com/, Youth,,, 6, Kern County, Boys and Girls,,  Youth Club,,
14,Antelope Valley Futbol Club,District 6,,,https://www.avfcsoccer.com/, Youth,,, 6, Kern County, Boys and Girls,,  Youth Club,,
14,Palmdale Youth Soccer League,District 6,,,https://palmdaleyouthsoccerleague.com/, Youth,,, 6, Kern County, Boys and Girls,,  Recreational League,,
15,Coachella Youth Sports Association Soccer League,District 5,,,https://www.cysasl.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
15,Fontana Futbol Club,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=887, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
15,Hemet Juventus Football Club,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?CLUB=835, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
15,Legends Inland Empire,District 5,,,https://legendsie.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
15,La Academia Soccer Club,District 5,,,https://laligaintercities.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
16,Titans Football Club,District 5,,,https://www.titansclubsoccer.org/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
16,Riverside Futbol Club,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=805&Send+Form=Go%21, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
16,Southwest SC,District 5,,,https://www.southwestsc.org/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
16,Empire Soccer Club,District 5, District 5,,https://www.empiresoccerclub.org/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
16,Magnus Football Club,District 5,,,https://magnusfc.sportngin.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
17,Desert United Soccer Club,District 5,,,https://desertunitedsoccer.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
17,Riverside MGFM Soccer Organization,District 5,,,https://riversidemgfm.teamsnapsites.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
17,Milan Academy,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2018&CLUB=557&SEASON=fall#:~:text=3498%20Castaic%20St,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
17,Apple Valley Soccer Club,District 5, District 5,,https://www.avscstorm.org/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
17,Victorville Youth Soccer League,District 5,,,https://tshq.bluesombrero.com/victorvilleyslca, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Recreational League,,
18,Sporting CA VC/Arsenal,District 5, District 7,,https://www.sportingca.us/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
18,Murrieta Youth Soccer League,District 5, District 5,,https://myslsoccer.org/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
18,Futbol Club California Velocity,District 5,,,https://velocityfc.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
18,Rancho Challenge FC,District 5,,,https://computer1996.wixsite.com/website, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
18,Cruzeiro SC,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=452, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
19,Olimpico FC,District 5,,,https://www.facebook.com/OlimpusFClub/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
19,Man U Soccer Inc.,District 5,,,https://www.manusoccerclub.org/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
19,Inland United Soccer Club,District 5,,,http://www.iuscmv.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
19,Temecula Valley Soccer Association,District 5, District 5,,https://www.tvsa.org/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
19,Barstow Youth Soccer League,District 5,,,https://barstowyouthsoccer.teampages.com/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Recreational League,,
20,Grand Terrace Community Soccer Club,District 5,,,https://www.gtsoccer.org/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Recreational League,,
20,Rialto Youth Soccer League,District 5, District 5,,https://clubs.bluesombrero.com/Default.aspx?tabid=1290096,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
20,TUSA Soccer Club,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=947, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
20,Big Bear Soccer League,District 5,,,https://www.facebook.com/BIGBEARSOCCER/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Recreational League,,
20,Colton Youth Soccer Organization,District 5, District 5,,https://www.coltonyouthsoccerorganizations.com/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
21,Palm Desert Youth Soccer League,District 5, District 5,,https://www.palmdesertsoccer.com/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
21,Morongo Basin Youth Soccer Association,District 5, District 5,,https://www.mbysasoccer.org/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
21,Yucaipa Valley Youth Soccer,District 5,,,https://www.yucaipasoccer.org/, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Recreational League,,
21,High Desert Youth Soccer League,District 5, District 5,,https://www.hdysl.soccer/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
21,Universal Soccer League,District 5, District 5,,https://universalsoccerleague.com/,, Youth,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club, Recreational League,
22,Fellowship of Christian Athletes,District 5,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=486, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
22,LA Monsters FC,District 4,,,http://www.lamonstersfc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
22,Foothill Superliga,District 4, District 4,,https://www.facebook.com/socalsuperliga/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Competitive League, Recreational League,
22,Sporting So-Cal SC,District 4,,,https://sportingsocal.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
22,Invictus Athletic Club,District 4,,,https://www.invictusac.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
23,LA Power SL,District 4,,,https://www.lapowerfc.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
23,Pro Alliance FC,District 4,,,https://www.proalliancefc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
23,Paramount Youth Soccer Organization,District 4,,,https://www.paramountfc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
23,Farwest United FC,,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=466, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
23,USARMS,District 4,,,https://usarmsclub.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
24,FC Dynamo SFV,District 4, District 4,,https://www.fcdynamosfv.com/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Competitive League,
24,Brazil Stars Soccer Club,District 4, District 4,,https://www.brazilianpremierleague.net/teams/?u=BRAZILSTARSSOCCERCLU&s=soccer,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Competitive League,
24,HG Eagles Soccer Club,District 4,,,https://www.hawaiiangardenseaglessc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
24,Downtown LA Soccer Club,District 4,,,https://downtownlasoccerclub.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
24,Spartans FC,District 4, District 4,,https://www.spartansfcla.com/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
25,Cerritos United Soccer Club,District 4,,,http://www.cuscsoccer.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
25,Pacific Coast Soccer Club,District 4,,,https://www.pacificcoastsc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
25,Sherman Oaks Extreme Soccer Club,District 4,,,https://www.extremesoccerclub.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
25,Downey Futbol Club,District 4,,,http://www.downeyfc.net/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
25,Glendale FC,District 4,,,https://glendalefc.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
26,La Mirada Soccer Association Inc.,District 4, District 4,,https://www.lamiradasoccer.org/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
26,Atletico Southern California,District 4,,,https://www.goatletico.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
26,Guadalajara Valley Futbol Club,District 4,,,https://www.guadalajaravalleyfc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
26,Pumas La Habra Soccer Club,District 4,,,http://pumaslh.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
26,Academia Futbol Central Los Angeles,District 4,,,https://www.linkedin.com/company/academia-futbol-central-los-angeles/about/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
27,Granada United Futbol Club,District 4,,,https://www.granadaunitedfc.club/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
27,Necaxa USA Futbol Club,District 4,,,http://www.necaxausa.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
27,Futbol Club Valencia,District 4, District 4,,https://fcvalencia.com/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
27,California Stars Soccer Club,District 4, District 4, District 4,https://www.californiastars.org/,,, Youth, 4, Los Angeles County, Boys and Girls,,  Youth Club, Competitive League, Recreational League
27,Project 2000 Soccer League,District 4,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=927, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
28,Total Futbol Academy,District 4,,,https://www.totalfutbolacademy.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
28,Anahuak Youth Sports Association,District 4, District 4,,http://www.anahuakyouthsoccer.org/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
28,Autobahn Soccer Club,District 4,,,https://www.autobahnsoccer.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
28,Foothill Storm Soccer Club,District 4,,,http://foothillstorm.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
28,North Valley Soccer League,District 4,,,https://northvalleysc.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
29,Futbol Foundation of Santa Clarita,District 4,,,https://www.ffsc.net/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
29,AYSO United,District 4,,,https://aysounited.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
29,Nitemares Soccer Club Inc.,District 4,,,https://coastsoccer.us/web/coastsoccer/clubs?CLUB=821, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
29,Pumas USA,District 4,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=975, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
29,West Covina Youth Soccer Corp.,District 4, District 4,,https://www.wcysc.com/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
30,Santa Anita Soccer Club,District 4,,,https://sasc.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
30,La Verne Soccer Club,District 4,,,https://www.lazerssc.org/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
30,Whittier Area Youth Soccer,District 4, District 4,,https://www.whittiersoccer.org/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
30,FC Man United,District 4,,,https://www.fcmanunited.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
30,South Bay Falcons FC,District 4,,,https://www.vermontfalconsfc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
31,Inter-America Soccer League,District 4, District 4,,https://www.sportsengine.com/org/inter-america-soccer-league,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
31,Long Beach Youth Soccer Organization,District 4, District 4,,http://www.lbyso.org/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Recreational League,
31,Xplosion Soccer Club,District 4,,,https://www.xplosionsc.com/, Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
31,Maquina FC,District 3,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=473, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
31,FC Impact,District 3,,,https://www.leagueathletics.com/?org=FCIMPACT, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
32,Anaheim Futbol Club,District 3,,,https://www.anaheimfc.org/, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
32,Atlas South California Sports Academy,District 3, District 3,,http://www.atlassouthcalifornia.com/,, Youth,, 3, Orange County, Boys and Girls,,  Youth Club, Recreational League,
32,Santa Ana FC Corp,District 3,,,https://coastsoccer.us/web/coastsoccer/clubs?YEAR=2022&SEASON=fall&CLUB=814, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
32,Laguna Niguel Youth Soccer Association,District 3, District 3,,https://www.lnysa.org/,, Youth,, 3, Orange County, Boys and Girls,,  Youth Club, Recreational League,
32,California State Soccer League,District 3,,,https://www.laligamx.com/, Youth,,, 3, Orange County, Boys and Girls,,  Competitive League,,
33,Elite Soccer League,District 3, District 3,,http://www.elitesoccerleague.com/,, Youth,, 3, Orange County, Boys and Girls,,  Youth Club, Recreational League,
33,Orange County United Futbol Club,District 3,,,https://www.orangecountysoccer.org/, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
33,Elite Development Academy,District 3,,,http://socaleda.com/, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
33,AC Brea,District 3,,,https://www.breasoccer.org/, Youth,,, 3, Orange County, Boys and Girls,,  Youth Club,,
33,Junior United Soccer Association,District 3, District 3,,https://www.jusa.org/#gsc.tab=0,, Youth,, 3, Orange County, Boys and Girls,,  Youth Club, Recreational League,
34,Inland Empire Prestige Soccer Club,District 5,,,, Youth,,, 5, San Bernardino & Riverside County, Boys and Girls,,  Youth Club,,
34,Newbury Park Elite Football Club,District 7, District 7,,https://npelitespringleague.com/,, Youth,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club, Recreational League,
34,FC Warriors,District 4, District 4,,https://www.fcwfoundation.org/,, Youth,, 4, Los Angeles County, Boys and Girls,,  Youth Club, Competitive,
34,Bell Gardens Football Club,District 4,,,https://www.bellgardensfc.org/,Youth,,, 4, Los Angeles County, Boys and Girls,,  Youth Club,,
34,TAG FC,District 6,,,https://www.tagfc.org/,Youth,,, 6, Kern County, Boys and Girls,,  Youth Club,,
