,53,,,Lindale Soccer,,,https://lindale.soccer/,
,54,,,Little Elm Area Youth Sports,,,http://www.leaysa.com/soccer,
,55,,,Lone Star Soccer Association,,,http://www.leaguelineup.com/welcome.asp?url=lonestarsoccer,
,56,,,Lubbock Soccer,,,http://lubbocksoccer.org/,
,57,,,Mansfield Soccer,,,http://www.mansfieldsoccer.org/,
,58,,,McKinney Soccer,,,http://mckinneysoccer.org/,
,59,,,Mesquite Soccer,,,https://www.leaguelineup.com/welcome.asp?url=mesquitesoccer,
,60,,,Midland Soccer,,,http://www.midlandsoccer.com/,
,61,,,Midlothian Soccer,,,http://www.midlothiansoccer.org/,
,62,,,Mineola Soccer,,,https://mineolasoccer.com/,
,63,,,Mineral Wells Soccer,,,https://www.facebook.com/Mineral-Wells-Soccer-Association-99225632671/,
,64,,,Mount Pleasant Youth Soccer,,,https://www.mpysasoccer.com/,
,65,,,Nacogdoches Youth Soccer,,,http://nysa.gotsport.com/clubsite/Default.aspx?p=3689&AspxAutoDetectCookieSupport=1,
,66,,,North Fort Worth Alliance,,,http://www.nfwasa.org/,
,67,,,Oak Cliff Soccer,,,https://www.oak-cliff-soccer.com/,
,68,,,Odessa Soccer,,,http://www.odessasoccer.com/,
,69,,,Palestine YMCA Soccer,,,http://www.palestineymca.org/,
,70,,,Pampa Soccer,,,http://sites.google.com/site/pampasoccer/home,
,71,,,Piney Woods Soccer,,,https://www.pineywoodssoccer.com/,
,72,,,Plano Youth Soccer,,,http://pysa.org/,
,73,,,Prosper Area Soccer,,,http://www.prospersoccer.org/,
,74,,,Red Oak Soccer,,,http://www.redoaksoccer.com/,
,75,,,Richardson Soccer,,,http://www.richardsonsoccer.org/,
,76,,,Rowlett Youth Soccer,,,http://www.rowlettsoccer.org/,
,77,,,Royse City Soccer,,,http://www.roysecitysoccer.org/,
,78,,,San Angelo Soccer,,,http://www.sanangelosoccer.org/,
,79,,,Shelby County Youth Soccer,,,https://www.facebook.com/Shelby-County-Youth-Soccer-1782637421979333/?ref=page_internal,
,80,,,Stephenville Soccer,,,http://www.stephenvillesoccer.org/,
,81,,,Sulphur Springs Soccer,,,http://www.sulphurspringssoccer.org/,
,82,,,Texoma Soccer,,,http://www.texomasoccer.org/,
,83,,,The Colony Youth Soccer,,,http://www.tcysa.net/,
,84,,,Tri-County Soccer,,,http://www.tricountysoccer.us/,
,85,,,Tyler Soccer,,,http://www.tylersoccer.com/,
,86,,,Upshur County Soccer,,,http://www.ucysa.com/,
,87,,,Van Soccer,,,http://www.vansoccer.org/,
,88,,,Waxahachie Soccer,,,https://www.waxahachiesoccerassociation.com/,
,89,,,Weatherford Soccer Association,,,https://www.weatherfordsoccer.org/,
,90,,,Wylie Soccer,,,http://www.wyliesoccer.com/,
